timestamp,generation_kw
2025-06-21 17:00:00+00:00,4284280.0
2025-06-21 16:30:00+00:00,5116660.0
2025-06-21 16:00:00+00:00,5644690.0
2025-06-21 15:30:00+00:00,5291760.0
2025-06-21 15:00:00+00:00,5533280.0
2025-06-21 14:30:00+00:00,5662560.0
2025-06-21 14:00:00+00:00,5802980.0
2025-06-21 13:30:00+00:00,5911160.0
2025-06-21 13:00:00+00:00,6421020.0
2025-06-21 12:30:00+00:00,6124880.0
2025-06-21 12:00:00+00:00,6292690.0
2025-06-21 11:30:00+00:00,6766200.0
2025-06-21 11:00:00+00:00,7421520.0
2025-06-21 10:30:00+00:00,7265720.0
2025-06-21 10:00:00+00:00,7430530.0
2025-06-21 09:30:00+00:00,7486080.0
2025-06-21 09:00:00+00:00,6667400.0
2025-06-21 08:30:00+00:00,5661270.0
2025-06-21 08:00:00+00:00,5061430.0
2025-06-21 07:30:00+00:00,4243350.0
2025-06-21 07:00:00+00:00,3263990.0
2025-06-21 06:30:00+00:00,2396150.0
2025-06-21 06:00:00+00:00,1674550.0
2025-06-21 05:30:00+00:00,1031800.0
2025-06-21 05:00:00+00:00,476900.0
2025-06-21 04:30:00+00:00,102868.0
2025-06-21 04:00:00+00:00,555.82
2025-06-21 03:30:00+00:00,0.0
2025-06-21 03:00:00+00:00,0.0
2025-06-21 02:30:00+00:00,0.0
2025-06-21 02:00:00+00:00,0.0
2025-06-21 01:30:00+00:00,0.0
2025-06-21 01:00:00+00:00,0.0
2025-06-21 00:30:00+00:00,0.0
2025-06-21 00:00:00+00:00,0.0
2025-06-20 23:30:00+00:00,0.0
2025-06-20 23:00:00+00:00,0.0
2025-06-20 22:30:00+00:00,0.0
2025-06-20 22:00:00+00:00,0.0
2025-06-20 21:30:00+00:00,0.0
2025-06-20 21:00:00+00:00,0.0
2025-06-20 20:30:00+00:00,31468.6
2025-06-20 20:00:00+00:00,284075.0
2025-06-20 19:30:00+00:00,713167.0
2025-06-20 19:00:00+00:00,1329450.0
2025-06-20 18:30:00+00:00,2051170.0
2025-06-20 18:00:00+00:00,2788180.0
2025-06-20 17:30:00+00:00,3593000.0
2025-06-20 17:00:00+00:00,4720500.0
2025-06-20 16:30:00+00:00,5807850.0
2025-06-20 16:00:00+00:00,7046830.0
2025-06-20 15:30:00+00:00,7577940.0
2025-06-20 15:00:00+00:00,8206130.0
2025-06-20 14:30:00+00:00,8667710.0
2025-06-20 14:00:00+00:00,8830750.0
